[2026-05-14 18:00:00.053] [3701643318] [INFO] [L3701643318T20260514175959943R70598] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25ED16DF37016433180000000000000000000001002FE101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000040000001AF0143A0
[2026-05-14 18:00:00.054] [3701643318] [INFO] [L3701643318T20260514180000054R70599] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000040000001AF01
[2026-05-14 18:00:00.054] [3701643318] [INFO] [L3701643318T20260514180000054R70600] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.054] [3701643318] [INFO] [L3701643318T20260514180000054R70600] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25EDC53637016433180000000000000000E101010011E101C26CCB123113026724170132650100C40D
[2026-05-14 18:00:00.102] [3701643318] [INFO] [L3701643318T20260514180000054R70600] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25ED171037016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003A0000019201B141
[2026-05-14 18:00:00.103] [3701643318] [INFO] [L3701643318T20260514180000102R70601] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003A0000019201
[2026-05-14 18:00:00.103] [3701643318] [INFO] [L3701643318T20260514180000103R70602] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.103] [3701643318] [INFO] [L3701643318T20260514180000103R70602] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25EDC56737016433180000000000000000E101010011E101C26CCB1231130267241701326501005724
[2026-05-14 18:00:00.207] [3701643318] [INFO] [L3701643318T20260514180000103R70602] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25ED177937016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003B0000018E01334A
[2026-05-14 18:00:00.207] [3701643318] [INFO] [L3701643318T20260514180000207R70603] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003B0000018E01
[2026-05-14 18:00:00.207] [3701643318] [INFO] [L3701643318T20260514180000207R70604] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.207] [3701643318] [INFO] [L3701643318T20260514180000207R70604] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25EDC5CF37016433180000000000000000E101010011E101C26CCB1231130267241701326501001EE5
[2026-05-14 18:00:00.250] [3701643318] [INFO] [L3701643318T20260514180000207R70604] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25ED17A437016433180000000000000000000001002FE101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000390000018001056D
[2026-05-14 18:00:00.250] [3701643318] [INFO] [L3701643318T20260514180000250R70605] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000390000018001
[2026-05-14 18:00:00.251] [3701643318] [INFO] [L3701643318T20260514180000251R70606] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.251] [3701643318] [INFO] [L3701643318T20260514180000251R70606] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25EDC5FB37016433180000000000000000E101010011E101C26CCB1231130267241701326501005099
[2026-05-14 18:00:00.295] [3701643318] [INFO] [L3701643318T20260514180000251R70606] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25ED17D137016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003700000174017D45
[2026-05-14 18:00:00.295] [3701643318] [INFO] [L3701643318T20260514180000295R70607] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000370000017401
[2026-05-14 18:00:00.295] [3701643318] [INFO] [L3701643318T20260514180000295R70608] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.295] [3701643318] [INFO] [L3701643318T20260514180000295R70608] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25EDC62737016433180000000000000000E101010011E101C26CCB1231130267241701326501008B03
[2026-05-14 18:00:00.338] [3701643318] [INFO] [L3701643318T20260514180000295R70608] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25ED17FC37016433180000000000000000000001002FE101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000390000017D011CE1
[2026-05-14 18:00:00.338] [3701643318] [INFO] [L3701643318T20260514180000338R70609] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000390000017D01
[2026-05-14 18:00:00.338] [3701643318] [INFO] [L3701643318T20260514180000338R70610] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.339] [3701643318] [INFO] [L3701643318T20260514180000338R70610] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25EDC65237016433180000000000000000E101010011E101C26CCB123113026724170132650100555A
[2026-05-14 18:00:00.383] [3701643318] [INFO] [L3701643318T20260514180000338R70610] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25ED182937016433180000000000000000000001002FE101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000380000017701A567
[2026-05-14 18:00:00.383] [3701643318] [INFO] [L3701643318T20260514180000383R70611] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000380000017701
[2026-05-14 18:00:00.383] [3701643318] [INFO] [L3701643318T20260514180000383R70612] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.383] [3701643318] [INFO] [L3701643318T20260514180000383R70612] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25EDC67F37016433180000000000000000E101010011E101C26CCB123113026724170132650100D8F5
[2026-05-14 18:00:00.470] [3701643318] [INFO] [L3701643318T20260514180000383R70612] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25ED188037016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003D0000017901144A
[2026-05-14 18:00:00.470] [3701643318] [INFO] [L3701643318T20260514180000470R70613] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003D0000017901
[2026-05-14 18:00:00.471] [3701643318] [INFO] [L3701643318T20260514180000471R70614] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.471] [3701643318] [INFO] [L3701643318T20260514180000471R70614] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25EDC6D737016433180000000000000000E101010011E101C26CCB1231130267241701326501009134
[2026-05-14 18:00:00.536] [3701643318] [INFO] [L3701643318T20260514180000471R70614] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25ED18C337016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003900000178014565
[2026-05-14 18:00:00.537] [3701643318] [INFO] [L3701643318T20260514180000536R70615] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000390000017801
[2026-05-14 18:00:00.537] [3701643318] [INFO] [L3701643318T20260514180000537R70616] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.537] [3701643318] [INFO] [L3701643318T20260514180000537R70616] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25EDC71937016433180000000000000000E101010011E101C26CCB1231130267241701326501002E29
[2026-05-14 18:00:00.585] [3701643318] [INFO] [L3701643318T20260514180000537R70616] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25ED18F337016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003F0000015101385F
[2026-05-14 18:00:00.585] [3701643318] [INFO] [L3701643318T20260514180000585R70617] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003F0000015101
[2026-05-14 18:00:00.585] [3701643318] [INFO] [L3701643318T20260514180000585R70618] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.586] [3701643318] [INFO] [L3701643318T20260514180000585R70618] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00500000002CC10000019E25EDC74937016433180000000000000000E101010011E101C26CCB1231130267241701326501005AE4
[2026-05-14 18:00:00.649] [3701643318] [INFO] [L3701643318T20260514180000585R70618] [数据交互|收到RSU数据] |RSU数据：FFFF00600000004A1C0000019E25ED193337016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003B0000014901BB37
[2026-05-14 18:00:00.649] [3701643318] [INFO] [L3701643318T20260514180000649R70619] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003B0000014901
[2026-05-14 18:00:00.649] [3701643318] [INFO] [L3701643318T20260514180000649R70620] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.649] [3701643318] [INFO] [L3701643318T20260514180000649R70620] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00600000002CC10000019E25EDC78937016433180000000000000000E101010011E101C26CCB123113026724170132650100734C
[2026-05-14 18:00:00.713] [3701643318] [INFO] [L3701643318T20260514180000649R70620] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25ED197337016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003C0000014F01F922
[2026-05-14 18:00:00.713] [3701643318] [INFO] [L3701643318T20260514180000713R70621] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003C0000014F01
[2026-05-14 18:00:00.713] [3701643318] [INFO] [L3701643318T20260514180000713R70622] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.713] [3701643318] [INFO] [L3701643318T20260514180000713R70622] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00700000002CC10000019E25EDC7C937016433180000000000000000E101010011E101C26CCB12311302672417013265010093DB
[2026-05-14 18:00:00.823] [3701643318] [INFO] [L3701643318T20260514180000713R70622] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25ED19E137016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003B0000013C013706
[2026-05-14 18:00:00.823] [3701643318] [INFO] [L3701643318T20260514180000823R70623] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003B0000013C01
[2026-05-14 18:00:00.823] [3701643318] [INFO] [L3701643318T20260514180000823R70624] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.823] [3701643318] [INFO] [L3701643318T20260514180000823R70624] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25EDC83737016433180000000000000000E101010011E101C26CCB123113026724170132650100C1D8
[2026-05-14 18:00:00.915] [3701643318] [INFO] [L3701643318T20260514180000823R70624] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25ED1A3D37016433180000000000000000000001002FE101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003D00000103017AA9
[2026-05-14 18:00:00.915] [3701643318] [INFO] [L3701643318T20260514180000915R70625] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B113020001004013026724170132652024080220340802108801010000003D0000010301
[2026-05-14 18:00:00.915] [3701643318] [INFO] [L3701643318T20260514180000915R70626] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.915] [3701643318] [INFO] [L3701643318T20260514180000915R70626] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25EDC89337016433180000000000000000E101010011E101C26CCB123113026724170132650100632A
[2026-05-14 18:00:00.955] [3701643318] [INFO] [L3701643318T20260514180000915R70626] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25ED1A6537016433180000000000000000000001002FE101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000035000000EB018505
[2026-05-14 18:00:00.955] [3701643318] [INFO] [L3701643318T20260514180000955R70627] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000035000000EB01
[2026-05-14 18:00:00.955] [3701643318] [INFO] [L3701643318T20260514180000955R70628] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:00.955] [3701643318] [INFO] [L3701643318T20260514180000955R70628] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00100000002CC10000019E25EDC8BB37016433180000000000000000E101010011E101C26CCB1231130267241701326501002F1F
[2026-05-14 18:00:01.329] [3701643318] [INFO] [L3701643318T20260514180000955R70628] [数据交互|收到RSU数据] |RSU数据：FFFF00200000004A1C0000019E25ED1BDB37016433180000000000000000000001002FE101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000032000000CF017A9C
[2026-05-14 18:00:01.329] [3701643318] [INFO] [L3701643318T20260514180001329R70629] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000032000000CF01
[2026-05-14 18:00:01.329] [3701643318] [INFO] [L3701643318T20260514180001329R70630] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:01.329] [3701643318] [INFO] [L3701643318T20260514180001329R70630] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00200000002CC10000019E25EDCA3137016433180000000000000000E101010011E101C26CCB12311302672417013265010021F0
[2026-05-14 18:00:01.373] [3701643318] [INFO] [L3701643318T20260514180001329R70630] [数据交互|收到RSU数据] |RSU数据：FFFF00300000004A1C0000019E25ED1C0737016433180000000000000000000001002FE101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000035000000CB012385
[2026-05-14 18:00:01.373] [3701643318] [INFO] [L3701643318T20260514180001373R70631] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000035000000CB01
[2026-05-14 18:00:01.373] [3701643318] [INFO] [L3701643318T20260514180001373R70632] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:01.373] [3701643318] [INFO] [L3701643318T20260514180001373R70632] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00300000002CC10000019E25EDCA5D37016433180000000000000000E101010011E101C26CCB1231130267241701326501000AF1
[2026-05-14 18:00:01.416] [3701643318] [INFO] [L3701643318T20260514180001373R70632] [数据交互|收到RSU数据] |RSU数据：FFFF00400000004A1C0000019E25ED1C3237016433180000000000000000000001002FE101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000030000000AD011FC3
[2026-05-14 18:00:01.416] [3701643318] [INFO] [L3701643318T20260514180001416R70633] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B1130200010040130267241701326520240802203408021088010100000030000000AD01
[2026-05-14 18:00:01.416] [3701643318] [INFO] [L3701643318T20260514180001416R70634] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 18:00:01.417] [3701643318] [INFO] [L3701643318T20260514180001416R70634] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00400000002CC10000019E25EDCA8837016433180000000000000000E101010011E101C26CCB1231130267241701326501002D04
[2026-05-14 18:00:01.483] [3701643318] [INFO] [L3701643318T20260514180001416R70634] [数据交互|收到RSU数据] |RSU数据：FFFF00500000004A1C0000019E25ED1C7537016433180000000000000000000001002FE101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000280000008A01E634
[2026-05-14 18:00:01.483] [3701643318] [INFO] [L3701643318T20260514180001483R70635] [数据交互|收到B2帧] |B2帧原始数据：E101B26CCB123100BAD3B1B11302000100401302672417013265202408022034080210880101000000280000008A01
[2026-05-14 18:00:01.483] [3701643318] [INFO] [L3701643318T20260514180001483R70636] [数据交互|收到MTC服务数据] |[6CCB1231]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
