[2026-05-14 17:00:00.004] [3701643319] [INFO] [L3701643319T20260514165959959R11728] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63A0637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B011871
[2026-05-14 17:00:00.005] [3701643319] [INFO] [L3701643319T20260514170000005R11729] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B01
[2026-05-14 17:00:00.005] [3701643319] [INFO] [L3701643319T20260514170000005R11730] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.006] [3701643319] [INFO] [L3701643319T20260514170000005R11730] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B6D68537016433190000000000000000E101010011E101C2405F13783701085600122673010074BC
[2026-05-14 17:00:00.048] [3701643319] [INFO] [L3701643319T20260514170000005R11730] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25B63A3337016433190000000000000000000001002FE101B2405F137800C9BDB6AB37010001165137010856001226732026042220360422108001010000000200000250014F33
[2026-05-14 17:00:00.049] [3701643319] [INFO] [L3701643319T20260514170000049R11731] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000025001
[2026-05-14 17:00:00.049] [3701643319] [INFO] [L3701643319T20260514170000049R11732] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
[2026-05-14 17:00:00.049] [3701643319] [INFO] [L3701643319T20260514170000049R11732] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00900000002CC10000019E25B6D6B137016433190000000000000000E101010011E101C2405F137837010856001226730100C080
[2026-05-14 17:00:00.092] [3701643319] [INFO] [L3701643319T20260514170000049R11732] [数据交互|收到RSU数据] |RSU数据：FFFF00100000004A1C0000019E25B63A5F37016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000030000024A01F4AE
[2026-05-14 17:00:00.092] [3701643319] [INFO] [L3701643319T20260514170000092R11733] [数据交互|收到B2帧] |B2帧原始数据：E101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000030000024A01
[2026-05-14 17:00:00.092] [3701643319] [INFO] [L3701643319T20260514170000092R11734] [数据交互|收到MTC服务数据] |[405F1378]栏杆处于抬杆状态，且非车队开启，不交易当前OBU
