[2026-05-14 02:00:00.184] [37016433] [INFO] [L3701643319T20260514020000183R16035] [数据交互|收到设备控制服务数据] |25车道--外设控制服务输入信息(ETC交易受理E1)为FFFF007000000196E10037016433190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405636413701085600047965C9BDB6AB370100011651202604012036040110200100000000000000000004C2B34242383336313500000000040B00176B080C08660007760008C50010BD024C56424A334A3056375345303434353636B8A3CCEFC5C6424A3130343545564A41FFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFFC7676C9BDB6AB370100011751370125052361000538362026040120360401C2B34242383336313500000000040BAA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FF0000104900AA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FFC9BDB6AB370100011751370125052361000538360001001328001049000A018092000000000013280A001049D3319D176F137BB5000000220000002200017786951999220101000000000000000000290B
[2026-05-14 02:00:00.185] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|车辆交易数据处理] |25车道交易受理--解析交易受理请求成功，开始处理
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [OBU信息|系统信息] |收到OBU信息，标签号：40563641；OBU序列号：3701085600047965；启用时间：20260401；到期时间：20360401；发行方：山东37010001；OBU状态：00100000
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [OBU信息|车辆信息] |收到OBU车辆信息，车牌号：鲁BB83615；车牌颜色：4；车型：11；车辆用户类型：0；核载质量：1910；整备质量：2245；车辆总重：4285；核载人数：2
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [OBU信息|EF04信息] |EF04中0019：AA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FF  交易标识：AA2900；通行路网号：3701；通行收费站：1011；通行车道：04；通行时间：2026-05-14 00:38:36；通行车型：11；通行状态：01；通行门架编号：3D730A；通行门架时间：2026-05-14 01:56:55；车牌号：鲁BB83615；车牌颜色：4；货车轴数：2；货车总重：5300；车辆状态标识：FF 
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [OBU信息|EF04信息] |EF04中0015：C9BDB6AB37010001175137012505236100053836  发行方：山东37010001；卡片类型：23；卡片版本：51；卡片网络号：3701；卡号：2505236100053836；车辆用户类型：0；通行省份个数：1；累计应收金额：4904；累计实收金额：4169；累计交易成功次数：10；累计里程：98450；无卡次数：0；本省应收金额：4904；本省实收金额：4169；本省交易成功次数：10；
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [ETC卡信息|0002] |卡内余额：4294735478
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [ETC卡信息|0015] |发行方：山东37010001；卡片类型：23；卡片版本：51；卡片网络号：3701；卡号：2505236100053836；启用时间：20260401；到期时间：20360401；用户类型：0；车牌号：鲁BB83615；车牌颜色：4；车型：11
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [ETC卡信息|0019] |通行路网号：3701；通行收费站：1011；通行车道：04；通行时间：2026-05-14 00:38:36；通行车型：11；通行状态：01；通行门架编号：3D730A；通行门架时间：2026-05-14 01:56:55；车牌号：鲁BB83615；车牌颜色：4；货车轴数：2；货车总重：5300；车辆状态标识：FF 
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|车辆交易数据处理] |25车道MTC出口交易受理--车辆鲁BB83615开始进行校验
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询标签是否拆卸 OBU拆卸状态位：0；未拆卸
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询车辆是否重复交易 本车道类型：8；本站HEX：37016433；上次通行状态：01；上次通行站HEX：37011011； 非重复交易
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询标签是否插卡 OBU卡存在状态位：0；卡存在
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询标签是否低电量 OBU电池状态位位：0；电池正常
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询标签是否锁定 OBU锁定状态位：0；未锁定
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询OBU发行期是否过期 启用日期：2026-04-01 00:00:00；结束日期：2036-04-01 00:00:00；在有效期内
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询车型是否合规 车型：11；合规
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询OBU发行方是否有效 发行方省份：山东；发行方有效
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询车辆状态名单 网络编号:3701；标签号：3701085600047965；卡号：2505236100053836；车牌号：鲁BB83615；车牌颜色：4
[2026-05-14 02:00:00.187] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送名单服务数据] |查询全国名单服务信息 请求：{"filename":"BASIC_LIST_QUERY_REQ_3701643319_20260514020000187.json","sign":"NONE","bizContent":{"msgId":"37016433192026051402089541","info":[{"cardId":"37012505236100053836","obuId":"3701085600047965","queryType":1},{"vehicleId":"鲁BB83615_4","queryType":2},{"cardId":"37012505236100053836","vehicleId":"鲁BB83615_4","queryType":3},{"vehicleId":"鲁BB83615_4","queryType":4},{"vehicleId":"鲁BB83615_4","queryType":5},{"vehicleId":"鲁BB83615_4","queryType":6},{"laneType":8,"vehicleId":"鲁BB83615_4","queryType":7}]},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.194] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到名单服务数据] |查询全国名单服务信息 响应：{"filename":"BASIC_LIST_QUERY_RES_3701643319_20260514020000188.json","bizContent":"{\"receiveTime\":\"2026-05-14T02:00:00.188\",\"code\":\"1\",\"codeInfo\":\"无记录\",\"msgId\":\"37016433192026051402089541\",\"info\":[{\"queryType\":1,\"status\":0},{\"queryType\":2,\"status\":0},{\"queryType\":3,\"status\":0},{\"queryType\":4,\"status\":0},{\"queryType\":5,\"status\":0},{\"queryType\":6,\"status\":0},{\"queryType\":7,\"status\":0}]}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:00:00.194] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询ETC卡发行期是否过期 启用日期：2026-04-01 00:00:00；结束日期：2036-04-01 00:00:00；在有效期内
[2026-05-14 02:00:00.194] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询ETC卡是否锁定 0019锁定标志：00；未锁定
[2026-05-14 02:00:00.194] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询ETC卡类型是否合法 卡类型：23；合法
[2026-05-14 02:00:00.194] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|发送名单服务数据] |查询区域编码信息 请求：{"filename":"ISSUER_LIST_REQ_3701643319_20260514020000194.json","sign":"NONE","bizContent":{"issuerNet":"3701","msgId":"37016433192026051402089542"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:00"}
[2026-05-14 02:00:00.197] [37016433] [INFO] [L3701643319T20260514020000185R16036] [数据交互|收到名单服务数据] |查询区域编码信息 响应：{"filename":"ISSUER_LIST_RES_3701643319_20260514020000197.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"issuerInfo\":[{\"issuerId\":\"3701\",\"issuerNet\":\"3701\",\"briefName\":\"山东\",\"fullName\":\"山东\",\"startTime\":\"1900-01-01T00:00:00\",\"endTime\":\"2100-01-01T00:00:00\",\"factor\":\"山东\"}],\"receiveTime\":\"2026-05-14T02:00:00.197\",\"msgId\":\"37016433192026051402089542\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:00:00.197] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询ETC卡发行方是否有效 卡网络编号：3701；在区域编码字典中，发行方有效
[2026-05-14 02:00:00.197] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询卡签车牌是否一致 标签内车牌_颜色：鲁BB83615_4；卡内车牌_颜色：鲁BB83615_4；一致
[2026-05-14 02:00:00.198] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询卡签车型是否一致 标签内车型：11；卡内车型：11；一致
[2026-05-14 02:00:00.198] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询卡签发行方是否一致 标签内发行方：山东；卡内发行方：山东；一致
[2026-05-14 02:00:00.198] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询牌识数据 根据3701643319_鲁BB83615_4未查询到牌识数据
[2026-05-14 02:00:00.198] [37016433] [INFO] [L3701643319T20260514020000185R16036] [40563641] [处理流程|有效性判断] |查询车轴型数据 根据3701643319_鲁BB83615_4查询到车轴型数据：AxleInfo(picId=null, msgId=37016433192026051401286681, pushTime=2026-05-14T01:59:57, axleFlag=1, axleNum=20260514010003, axleTime=2026-05-14T01:21:16, identifyType=11, vehicleAxleInfo=000012, vehicleAxleCount=2, vehicleWheelBase=4314, vehicleLength=7475, vehicleWidth=1920, vehicleHeigth=2352, dangerousGoods=0, vehicleSpecial=0, plateNum=鲁BB83615, plateColor=4, vehicleSpeed=23, vehicleModel=0000, vehicleColor=0, reliability=100, vehFeatureCode=0000, faceFeatureCode=0000)
