[2026-05-14 09:00:03.654] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 09:00:07.513] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514080021","axleTime":"2026-05-14T08:23:28","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433182026051409374472","picId":null,"plateColor":0,"plateNum":"鲁LLK763","pushTime":"2026-05-14T09:00:07","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1763,"vehicleLength":5184,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":35,"vehicleWheelBase":"3183","vehicleWidth":1720}
[2026-05-14 09:00:07.514] [37016433] [INFO] [L3701643318T20260514085059707R18451] [ ] [处理流程|车辆交易数据处理] |鲁LLK763_0车轴型识别数据保存成功
[2026-05-14 09:00:07.514] [37016433] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643318/Reply/DevInfo/Axle】：{"code":"1","codeInfo":"","msgId":"","receiveTime":"2026-05-14T09:00:07"}
[2026-05-14 09:00:26.055] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643318/Push/Cvicse/LaneStatusUpdate】,QOS 【2】, 内容:{"laneType":2,"msgId":"2026051409000001","sendTime":"2026-05-14T09:00:26"}
[2026-05-14 09:00:26.066] [37016433] [INFO] [L0000000000T20260423154157870R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643318/Push/Cvicse/LaneStatusData】：{"laneId":"G00153700500302020030","laneState":4,"msgId":"37016433182026051409196449","operName":"李霞","pushTime":"2026-05-14T09:00:26","shiftCode":4,"shiftName":"第一班","startTime":"2026-05-14T06:03:54","workStatusDic":1}
[2026-05-14 09:00:35.814] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643351/Push/Cvicse/LaneStatusUpdate】,QOS 【2】, 内容:{"laneType":1,"msgId":"2026051409000002","sendTime":"2026-05-14T09:00:35"}
[2026-05-14 09:01:09.451] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514080012","axleTime":"2026-05-14T08:22:29","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433192026051409290623","picId":null,"plateColor":0,"plateNum":"鲁UP8103","pushTime":"2026-05-14T09:01:09","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1750,"vehicleLength":4592,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":31,"vehicleWheelBase":"2527","vehicleWidth":1840}
[2026-05-14 09:01:09.452] [37016433] [INFO] [L3701643319T20260514085920634R18456] [ ] [处理流程|车辆交易数据处理] |鲁UP8103_0车轴型识别数据保存成功
[2026-05-14 09:01:09.452] [37016433] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/DevInfo/Axle】：{"code":"1","codeInfo":"","msgId":"","receiveTime":"2026-05-14T09:01:09"}
[2026-05-14 09:01:16.606] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643301/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514070023","axleTime":"2026-05-14T07:35:16","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"12","msgId":"37016433012026051409390033","picId":null,"plateColor":1,"plateNum":"鲁VQ3078","pushTime":"2026-05-14T09:01:16","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000012","vehicleColor":0,"vehicleHeigth":2710,"vehicleLength":12004,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":22,"vehicleWheelBase":"7378","vehicleWidth":1750}
[2026-05-14 09:01:16.607] [37016433] [INFO] [L3701643301T20260514085157967R18452] [ ] [处理流程|车辆交易数据处理] |鲁VQ3078_1车轴型识别数据保存成功
[2026-05-14 09:01:16.607] [37016433] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643301/Reply/DevInfo/Axle】：{"code":"1","codeInfo":"","msgId":"","receiveTime":"2026-05-14T09:01:16"}
[2026-05-14 09:01:17.551] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|收到MTC前端服务数据] |MTC出口交易: CPC卡片信息确认请求: {"filename":"LS_MTC_EXIT_REQ_3701643319_20260514090116780.json","bizContent":"{\"axleCount\":2,\"card0002\":\"\",\"card0015\":\"\",\"card0019\":\"\",\"certNo\":\"\",\"cpcEF01\":\"01c2b3555038313033000000000037016431026a051c00010100e2f8d104ffffffffffffffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ff\",\"cpcEF02\":\"010200006000077f0000006a051c003c72096a051c5700006000077f023c720e3c7209000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000\",\"cpcEF04\":\"370200006400077f0000006a051c003c72096a051c5700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ffffffffffff\",\"cpcMFEF01\":\"bdadcbd5320100013201016002660307012024080820340809ffffffffff\",\"cpcMFEF02\":\"64010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000\",\"enStationHex\":\"\",\"enTime\":\"\",\"enTollLaneHex\":\"\",\"identifyVehicleId\":\"鲁UP8103_0\",\"laneType\":2,\"limitWeight\":18000,\"mediaNo\":\"3201016002660307\",\"mediaType\":2,\"msgId\":\"37016433192026051409002949\",\"noCPCTransFlag\":0,\"openId\":\"\",\"orderId\":\"\",\"payType\":0,\"picId\":\"\",\"plateColor\":0,\"plateNum\":\"鲁UP8103\",\"shiftNo\":4,\"spare1\":\"2\",\"spare2\":\"11\",\"spare3\":\"\",\"spare4\":1,\"spare5\":\"\",\"specialCode\":\"\",\"specialSwitch\":\"\",\"specialValue\":\"\",\"station\":0,\"tollLaneHex\":\"3701643319\",\"totalWeight\":1280,\"userId\":\"500501031\",\"vId\":\"3701643319202605140901161447\",\"vehicleClass\":0,\"vehicleType\":1}\n","sign":"cvicse","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T09:01:16"}
[2026-05-14 09:01:17.553] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|车辆交易数据处理] |CPC出口交易--解析交易报文开始
[2026-05-14 09:01:17.553] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [CPC卡信息|系统信息] |CPC系统信息(MF/EF01): CPC卡发行方标识:江苏32010001, CPC卡ID:3201016002660307, 版本号:01, 合同签署日期:20240808, 合同过期日期:20340809
[2026-05-14 09:01:17.553] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [CPC卡信息|基本信息] |CPC基本信息(MF/EF02): CPC卡电量信息:100, 5.8GHz工作状态:01
[2026-05-14 09:01:17.553] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [CPC卡信息|出入口信息] |CPC入出口信息(DF01/EF01): 车型:1, 车牌号:鲁UP8103, 车牌颜色:0, 入口路网号:3701, 入口收费站号:6431, 入口收费车道号:02, 入口时间:2026-05-14 08:49:04, 5.8GHz工作状态:01, 入/出口状态:01, 车种:0, 入口收费员工号:14874833, 入口班次:4, 货车轴数:255, 货车总重量:0, 核定载重:65535, 车辆状态标记:FF
[2026-05-14 09:01:17.553] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [CPC卡信息|路径信息] |CPC路径信息(DF01/EF02): 通行省份个数:1, 本省门架个数:2, 本省累计金额:96, 本省累计里程:1919, 入口站门架信息:000000, 本省入口门架通行时间:Thu May 14 08:49:04 GMT+08:00 2026, 最新门架编码:3C7209, 最新通过门架时间:Thu May 14 08:50:31 GMT+08:00 2026, 最新门架的计费金额:96, 最新门架的里程:1919, 过站信息中的门架个数:2, 过站信息中的门架编码:3C720E3C7209
[2026-05-14 09:01:17.554] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [CPC卡信息|计费信息] |CPC计费信息1(DF01/EF04): 本省省份编码:37, 本省门架个数:2, 本省累计金额:100, 本省累计里程:1919, 本省门架信息:000000, 本省入口通行时间:2026-05-14 08:49:04, 最新门架编码:3C7209, 最新通过门架时间:2026-05-14 08:50:31, 拟合成功标志:00
[2026-05-14 09:01:17.554] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|车辆交易数据处理] |CPC出口交易--解析交易报文结束，解析成功
[2026-05-14 09:01:17.554] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|发送名单服务数据] |查询参数版本信息 请求：{"filename":"BASIC_PARAM_VERSIONQUERY_REQ_3701643319_20260514090117554.json","sign":"NONE","bizContent":{"msgId":"37016433192026051409196450"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T09:01:17"}
[2026-05-14 09:01:17.559] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|收到名单服务数据] |查询参数版本信息 响应：{"filename":"BASIC_PARAM_VERSIONQUERY_RES_3701643319_20260514090117558.json","bizContent":"{\"holidayVersion\":\"26012301_2026-01-23T00:00:00\",\"code\":0,\"gbCardBListVersion\":\"76051101_2026-05-11T12:00:01\",\"areaCodeVersion\":\"21011401_2021-01-11T00:00:00\",\"codeInfo\":\"查询成功有记录\",\"orgCodeVersion\":\"26040701_2026-04-24T00:00:00\",\"msgId\":\"37016433192026051409196450\",\"operVersion\":\"26040301_1900-01-01T00:00:00\",\"gantryVersion\":\"26040701_2026-04-24T00:00:00\",\"greylistVersion\":\"70514036_2026-05-14T08:45:05\",\"underRelationVersion\":\"26040701_2026-04-24T00:00:00\",\"SpfuncVersion\":\"26012301_2026-01-23T00:00:00\",\"basicInfoVersion\":\"20260514_2026-05-14T01:00:23\",\"spfuncVersion\":\"26012301_2026-01-23T00:00:00\",\"gbCardBListCreVersion\":\"70514106_2026-05-14T08:55:01\",\"gbAllPathVersion\":\"26050902_2026-05-09T00:00:00|26051501_2026-05-15T00:00:00\",\"publishVersion\":\"24120601_1900-01-01T00:00:00\",\"sysParaVersion\":\"24120601_1900-01-01T00:00:00\",\"gbVBListVersion\":\"26051436_2026-05-14T08:45:02\",\"emergencyAppointVersion\":\"26051436_2026-05-14T08:45:01\",\"receiveTime\":\"2026-05-14 09:01:17.558\",\"shortPathVersion\":\"26040701_2026-04-24T00:00:00\",\"shiftVersion\":\"10061502_2010-06-15T15:30:11\",\"heavyTransVersion\":\"26051402_2026-05-14T08:45:01\",\"greenTrafficVersion\":\"26051436_2026-05-14T08:45:01\",\"vgListVersion\":\"66000800_2026-05-13T00:00:00|66000800_2026-05-13T00:00:00\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 09:01:17.595] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |查询到出口流水0条
[2026-05-14 09:01:17.595] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |未查询到本车辆出口流水，可继续交易
[2026-05-14 09:01:17.595] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |开始校验
[2026-05-14 09:01:17.595] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|发送名单服务数据] |基础信息校验, 查询参数获取入口车道及收费站信息, 请求内容: {"filename":"BASIC_LANE_STATION_LIST_REQ_3701643319_20260514090117595.json","auth":"cvicse","bizContent":"{\"msgId\":\"37016433192026051409196452\",\"hex\":\"3701643102\",\"type\":2}","sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T09:01:17"}
[2026-05-14 09:01:17.598] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|收到名单服务数据] |基础信息校验, 查询参数获取入口车道及收费站信息, 响应内容: {"filename":"BASIC_LANE_STATION_LIST_RES_3701643319_20260514090117596.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016431\",\"stationId\":\"G0015370050010\",\"stationName\":\"山东沈海胶州站\",\"tollLaneHex\":\"3701643102\",\"tollLaneId\":\"G00153700500101010020\",\"receiveTime\":\"2026-05-14T09:01:17.596\",\"msgId\":\"37016433192026051409196452\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 09:01:17.599] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |卡发行方编号: 32
[2026-05-14 09:01:17.599] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|发送名单服务数据] |CPC卡发行方校验: 查询参数获取全部发行方信息, 请求内容: {"filename":"ISSUER_LIST_REQ_3701643319_20260514090117599.json","auth":"cvicse","bizContent":"{\"netNo\":\"\",\"msgId\":\"37016433192026051409196453\"}","sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T09:01:17"}
[2026-05-14 09:01:17.604] [37016433] [INFO] [L3701643319T20260514090117551R18459] [数据交互|收到名单服务数据] |CPC卡发行方校验: 查询参数获取全部发行方信息, 数据量过大, 暂不打印
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |鲁UP8103**CPC卡电量: 100
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |鲁UP8103**卡片通行状态: 01
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |验证入出口信息, 入口车牌（含颜色）鲁UP8103_0, 出口车牌（含颜色）鲁UP8103_0
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |鲁UP8103**入口车型1，出口车型1
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |鲁UP8103**入口车种0，出口车种0
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |鲁UP8103**入口轴数: 255, 出口轴数: 2
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |鲁UP8103**入口轴数和出口轴数不一致（仅记录特情）
[2026-05-14 09:01:17.605] [37016433] [INFO] [L3701643319T20260514090117551R18459] [3201016002660307] [处理流程|有效性判断] |部特情: 60-出入口车辆轴数不一致
